Itu gimna yah aku tranfer sesama BRI, Kok lama banget pengecekan tranfernya, mohon penjelasannya admin🙏🙏	negative
Aku coba transaksi trus nominal kurang jd aku ajukan refund tapi ga bisa katanya no rek tujuan beda padahal udah samaaa tolong dong, duitnya balikin😭	negative
Bank Mega Gak ada hmm	negative
Aplikasi busuk jangan di download rugi nomor sudah sesuai kode verifikasi sudah sesuai tpi kode Verifikasi slah trus busuk ini mah apknya	negative
Kenapa saya masuk akun tidak bisa ? Password salah padahal benar, saat restart PASSWORD MALAH LINK NYA GABISA UDH 2 BULAN YANG LALU	negative
Saya transfer ke bri pake cimb.. Transaksi di cimb sukses tpi di flip pada dlam pengecekan intinya flip blm Terima uang pdhl di cimb udh sukses tranfer. Entahlah yg bermasalah yg mana.. Padhl keburu duit mau di pake malah gk jelas gini. Q harus gimana nih.. Chat flip blm di respn. Kata cs cimb coba di buat kan laopran maslah ini.. Tolooooooong...	negative
"Baru buat aja di buat ribet ,, suruh masukin kode pin udh bener di bilang salah anjggggbet🥵, apk gak jelas anjgg.. Ujung""nya jg harus bayar ke atm gk lewat hp cok ribet"	negative
Pertama coba transfer cepet, knp sekarang lama. Ada apakah	negative
bad respon cs and awaiting for along time untuk melakukan refund, uang mudah masuk tapi klw udh masuk ke flip lama kluarnya...	negative
Maaf gan saya ganti ke bintang 1, akun tiba tiba logout sendiri padahal gak pernah logout. Pas mau masuk katanya password salah, coba reset password masuk ke email, email di klik balik lagi ke reset password. begitu terus. Complaint lewat email gak ada respon	negative
Layanan cs lelet	negative
Tolong min balikin duit sya sudh sya refund tpi d tolak trus pdahal bukti transfer sudh sya krim tlong min karena jumlah nya yg lumayan buat saya	negative
Sampah tidak ada respon saat di butuhkan ..memalukan	negative
Gimna ini verifikasi ndk jelas ,padahal foto dan dokumen udah bagus.. slow respon admin gimna kita percaya klu gitu,.. untuk semwntra saya kasi bintang 1 demi perbaikan..	negative
berharap ada penambahin bank jatim update selanjutnya	negative
aplikasi penipu sdh transferkn pls blm msuk smpai skrg..play store tolong aplikasi di hilang kn sblm bnyak korban sy punya bukti transfer	negative
Sy refund sampe 3 hari ga d transfer transfer	negative
Cara... Mengisi saldo flip itu gimn?? Top. Up nya kmna??	neutral
Susah dipahami aplikasi ini, emang susah di pahami dan udah transfer juga 15.000 mau di coba, ternyata susah banget ka...	negative
Pengecekan transaksi yang sudah ditranfers terkadang membutuhkan wkatu yang sangat lama, saya sudah 10 menit menunggu + menit2 selanjutnya berlalu hanya untuk menunggu lagi, mendingan pakek gopay cepet	negative
Nyesel transfer lewat ini, bukane enak mlh enek, duit ngumpul²in lama² eh mlh ilang disini, Cs'nya jga gada yg bertanggungjawab!! Parah!!!!!!😔	negative
Susah verifikasi akun....unggah foto dengan ektp....aplikasi bagus tp ada bagian yg sulit	negative
BCA ke CityBank tidak terdaftar saya delete lg	negative
Bingung, cek saldo gmana, top up saldo kek mana, klw dah ngrti di kembalikan bintangny jdi full.	negative
Hati hati mengirimkan dalam jumlah besar gw tes 10k ke rekening pribadi jenisnya beda belum masuk soalnya ini melewati pihak ketiga padahal statusnya udah Sukses, kalau tau gitu mending kena biaya admin aja	negative
Buat transaksi ke bank jateng kok tidak ada. Semoga lain waktu ada yaa tq	negative
Mau verifikasi susah banget. . Gue kasih bintang 1 aja dulu..	negative
Caranya gmna sih ko uang udh di transver tp gk bisa	negative
Lemot.......	negative
Pengecekan transaksinya lama bener. Mana lg urgent	negative
Tidak bisa isi saldo	negative
Lama banget ngecek nyaaa,ga bisa ditunggu ini mah,malah lama banget woi	negative
Aplikasi ribet	negative
Burukkkkkkk	negative
Transfer saya 6 jt belum diproses , tlp cs susah . Gimana ini	negative
Susah amat buat di hubungi uang saya gak di refund refund	negative
Saya sudah download ini apk,tp saya ga ngerti cara msk bg😭kata org harus salesnya langsung yg daftarkan😭apa bener?	negative
Duit saya 500 belom balik balik juga nih. Mkin ga jelas	negative
Aplikasi penipuan nih, pengajuan refund saya belum diproses juga.	negative
Tak ada bank OCBC NISP ya.	negative
Susah gunainnya..konfirmasinya lama.mau transfer gagal Mulu..gimna sih ini?	negative
Setelah aplikasi didonload, kenapa dminta untuk perbaharui lagi,,, disaat menuju pembaharuan, tidak ada penyelesaiannya. Gimana sich sebenarnya???	negative
Satu dulu	neutral
terlalu lamma bls chat nya habis waktu hanya nunggu blasan chat nya takut jadi nya menggunakan aplikasi ini keamanan nya seperti tak terjamin	negative
Lama samapainya malah ntah sampai atau ngak	negative
Sumpah, verifikasi ktp gagal teroos. Cahaya, ke blur-an, ampe pke kerudungan dngn warna yg sm ttp wehhh gagall.... badmood bngt dah!!! Sebel bngt flip. Auto hapus! Pdhl apk sblh bisa lho verifi kyk langsng auto scane gitu. Lngsng cekrek2 dh jd. Tnp nungguin berjam2.. Moga flip bisa samaan ya kyk Dana 😌. Eh tp dh keburu diapus deng.	negative
Entah lagi perbaikan atau apa,tp sekarang udah gak bisa digunakan.alasanya koneksi tidak stabil..padahal buat apk lain lancaar.pindah hape ganti wifi juga nasibnya sama..semoga bisa segera diperbaiki seperti semula	negative
Aduh kirim uang 5jt lo pengecekan dan respon admin nya lama banget di balas gak tolong lah saya sudah percaya2 sama ini aplikasi	negative
Di Flip saya yang versi 1.19.1 kok tidak ada menu TOP UP SALDO,mohon bantuannya BOSS	negative
